sample_id,canonical_id,object_type,geometry_family,visual_archetype,material_family,profile,youngs_modulus,poisson_ratio,density,particle_size,grid_density,dt,substeps,drop_height,alpha_wrap_fraction,alpha_wrap_offset_fraction,rationale
stage3_100k_qwen2_v1_solid_073362,foam_solid__microphone_foam_cover,Microphone Foam Cover,solid,foam_solid,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
stage3_100k_qwen2_v1_solid_023411,foam_solid__sponge_paint_roller,Sponge Paint Roller,solid,foam_solid,foam,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid; predeformed_state
stage3_100k_qwen2_v1_solid_069490,generic_deformable_solid__beanbag_toy,Beanbag Toy,solid,generic_deformable_solid,unknown,generic,72000.0,0.4,850.0,0.008,128.0,0.0008,24,0.45,0.02,0.003,base:generic; geometry:solid; predeformed_state
stage3_100k_qwen2_v1_solid_092292,generic_deformable_solid__heat_therapy_gel_pack,Heat Therapy Gel Pack,solid,generic_deformable_solid,gel,gel,31500.0,0.47,1000.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:gel; geometry:solid; predeformed_state
stage3_100k_qwen2_v1_solid_093750,generic_deformable_solid__oxygen_mask_soft_seal,Oxygen Mask Soft Seal,solid,generic_deformable_solid,unknown,generic,80000.0,0.4,850.0,0.008,128.0,0.0008,24,0.45,0.02,0.003,base:generic; geometry:solid
stage3_100k_qwen2_v1_solid_013734,generic_deformable_solid__soft_tissue_training_block,Soft Tissue Training Block,solid,generic_deformable_solid,gel,gel,35000.0,0.47,1000.0,0.007,144.0,0.0007,28,0.4,0.02,0.004,base:gel; geometry:solid
stage3_100k_qwen2_v1_solid_031681,generic_deformable_solid__stress_ball,Stress Ball,solid,generic_deformable_solid,unknown,generic,85000.0,0.44,720.0,0.008,128.0,0.0008,24,0.42,0.02,0.003,base:generic; geometry:solid; elastic_squeeze_toy
stage3_100k_qwen2_v1_solid_087532,plush_soft_solid__plush_toy,Plush Toy,solid,plush_soft_solid,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:solid
stage3_100k_qwen2_v1_solid_025042,rubber_soft_solid__protective_rubber_cover,Protective Rubber Cover,solid,rubber_soft_solid,rubber,rubber,150000.0,0.46,1050.0,0.008,128.0,0.0008,24,0.46,0.02,0.003,base:rubber; geometry:solid
stage3_100k_qwen2_v1_solid_014381,rubber_soft_solid__silicone_teether_toy,Silicone Teether Toy,solid,rubber_soft_solid,rubber,silicone,100000.0,0.47,1080.0,0.008,128.0,0.0008,24,0.44,0.02,0.004,base:silicone; geometry:solid
stage3_100k_qwen2_v1_solid_001836,soft_food_form__butter,Butter,solid,soft_food_form,soft_food,soft_food,60000.0,0.38,720.0,0.007,144.0,0.0007,28,0.42,0.02,0.004,base:soft_food; geometry:solid
stage3_100k_qwen2_v1_solid_077504,soft_food_form__gummy_candy,Gummy Candy,solid,soft_food_form,soft_food,soft_food,54000.0,0.38,720.0,0.007,144.0,0.0007,28,0.42,0.02,0.004,base:soft_food; geometry:solid; predeformed_state
stage3_100k_qwen2_v1_solid_051802,soft_food_form__mashed_potato,Mashed Potato,solid,soft_food_form,soft_food,soft_food,35000.0,0.45,1050.0,0.007,144.0,0.0007,28,0.34,0.02,0.004,base:soft_food; geometry:solid; predeformed_state; yield_like_soft_mass
stage3_100k_qwen2_v1_solid_072660,soft_food_form__mochi,Mochi,solid,soft_food_form,soft_food,soft_food,60000.0,0.38,720.0,0.007,144.0,0.0007,28,0.42,0.02,0.004,base:soft_food; geometry:solid
stage3_100k_qwen2_v1_solid_092067,soft_food_form__rice_ball,Rice Ball,solid,soft_food_form,soft_food,soft_food,60000.0,0.38,720.0,0.007,144.0,0.0007,28,0.42,0.02,0.004,base:soft_food; geometry:solid
stage3_100k_qwen2_v1_cloth_sheet_038839,coated_textile__tarpaulin,Tarpaulin,cloth_sheet,coated_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_022979,long_strip_textile__bubble_wrap,Bubble Wrap,cloth_sheet,long_strip_textile,unknown,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_033167,long_strip_textile__sandwich_wrap,Sandwich Wrap,cloth_sheet,long_strip_textile,unknown,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_069588,rectangular_textile__agricultural_fabric_sheet,Agricultural Fabric Sheet,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_001205,rectangular_textile__artificial_skin_patch,Artificial Skin Patch,cloth_sheet,rectangular_textile,gel,gel,63000.0,0.47,1000.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:gel; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_046311,rectangular_textile__awning_fabric,Awning Fabric,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_096269,rectangular_textile__bedsheet,Bedsheet,cloth_sheet,rectangular_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_072506,rectangular_textile__blackout_curtain,Blackout Curtain,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_062807,rectangular_textile__blanket,Blanket,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_016733,rectangular_textile__canopy_fabric,Canopy Fabric,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_072026,rectangular_textile__cleaning_cloth,Cleaning Cloth,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_034687,rectangular_textile__duvet_cover,Duvet Cover,cloth_sheet,rectangular_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_093375,rectangular_textile__eva_foam_sheet,EVA Foam Sheet,cloth_sheet,rectangular_textile,foam,foam,100000.0,0.28,180.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:foam; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_072521,rectangular_textile__fabric_book,Fabric Book,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_083681,rectangular_textile__fitted_sheet,Fitted Sheet,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_033242,rectangular_textile__flexible_insulation_sheet,Flexible Insulation Sheet,cloth_sheet,rectangular_textile,unknown,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_034213,rectangular_textile__floor_mat,Floor Mat,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_084169,rectangular_textile__foam_puzzle_mat,Foam Puzzle Mat,cloth_sheet,rectangular_textile,foam,foam,100000.0,0.28,180.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:foam; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_021607,rectangular_textile__hammock_fabric,Hammock Fabric,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_099700,rectangular_textile__mop_cloth,Mop Cloth,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_094851,rectangular_textile__napkin,Napkin,cloth_sheet,rectangular_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_092921,rectangular_textile__rubber_mat,Rubber Mat,cloth_sheet,rectangular_textile,rubber,rubber,180000.0,0.46,1050.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:rubber; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_053644,rectangular_textile__sunshade_fabric,Sunshade Fabric,cloth_sheet,rectangular_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_003690,rectangular_textile__swaddle_blanket,Swaddle Blanket,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_015333,rectangular_textile__tent_fabric,Tent Fabric,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_083236,rectangular_textile__throw_blanket,Throw Blanket,cloth_sheet,rectangular_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_cloth_sheet_079843,rectangular_textile__wet_cloth,Wet Cloth,cloth_sheet,rectangular_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_016903,terry_textile__car_cleaning_towel,Car Cleaning Towel,cloth_sheet,terry_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_003325,terry_textile__hand_towel,Hand Towel,cloth_sheet,terry_textile,textile,textile,120000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet
stage3_100k_qwen2_v1_cloth_sheet_048917,terry_textile__towel,Towel,cloth_sheet,terry_textile,textile,textile,108000.0,0.34,460.0,0.004,192.0,0.0006,32,0.3,0.03,0.012,base:textile; geometry:cloth_sheet; predeformed_state
stage3_100k_qwen2_v1_shell_030627,cushion_shell__baby_cushion,Baby Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_069428,cushion_shell__beanbag_chair,Beanbag Chair,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_026265,cushion_shell__coccyx_cushion,Coccyx Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_007352,cushion_shell__cushion_foam_core,Cushion Foam Core,shell,cushion_shell,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_001533,cushion_shell__donut_cushion,Donut Cushion,shell,cushion_shell,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_000079,cushion_shell__floor_cushion,Floor Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_098050,cushion_shell__flotation_cushion,Flotation Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_020938,cushion_shell__heel_cushion,Heel Cushion,shell,cushion_shell,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_019484,cushion_shell__knee_pillow,Knee Pillow,shell,cushion_shell,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_041310,cushion_shell__latex_cushion,Latex Cushion,shell,cushion_shell,rubber,rubber,150000.0,0.46,1050.0,0.008,128.0,0.0008,24,0.46,0.02,0.003,base:rubber; geometry:shell
stage3_100k_qwen2_v1_shell_034525,cushion_shell__neck_pillow_foam_core,Neck Pillow Foam Core,shell,cushion_shell,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_004945,cushion_shell__positioning_cushion,Positioning Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_071393,cushion_shell__silicone_cushion,Silicone Cushion,shell,cushion_shell,rubber,silicone,100000.0,0.47,1080.0,0.008,128.0,0.0008,24,0.44,0.02,0.004,base:silicone; geometry:shell
stage3_100k_qwen2_v1_shell_016589,cushion_shell__sofa_armrest_padding,Sofa Armrest Padding,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_085460,cushion_shell__sofa_back_cushion,Sofa Back Cushion,shell,cushion_shell,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_099119,inflatable_shell__inflatable_animal_toy,Inflatable Animal Toy,shell,inflatable_shell,unknown,plastic,74340.0,0.4,533.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:shell; inflatable_shell; predeformed_state
stage3_100k_qwen2_v1_shell_038495,inflatable_shell__inflatable_ball,Inflatable Ball,shell,inflatable_shell,unknown,plastic,82600.0,0.4,533.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:shell; inflatable_shell
stage3_100k_qwen2_v1_shell_008911,inflatable_shell__inflatable_bladder,Inflatable Bladder,shell,inflatable_shell,unknown,plastic,74340.0,0.4,533.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:shell; inflatable_shell; predeformed_state
stage3_100k_qwen2_v1_shell_025403,inflatable_shell__inflatable_mattress,Inflatable Mattress,shell,inflatable_shell,unknown,plastic,74340.0,0.4,533.0,0.008,144.0,0.001,20,0.52,0.022,0.004,base:plastic; geometry:shell; inflatable_shell; predeformed_state
stage3_100k_qwen2_v1_shell_064712,padded_support__ankle_support_cushion,Ankle Support Cushion,shell,padded_support,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_074903,padded_support__garden_kneeler_pad,Garden Kneeler Pad,shell,padded_support,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_004094,padded_support__headphone_ear_pad_foam,Headphone Ear Pad Foam,shell,padded_support,foam,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_016220,padded_support__iv_injection_training_pad,IV Injection Training Pad,shell,padded_support,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_052111,padded_support__knee_pad_foam_insert,Knee Pad Foam Insert,shell,padded_support,foam,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_010402,padded_support__knee_support_cushion,Knee Support Cushion,shell,padded_support,unknown,foam,50000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell
stage3_100k_qwen2_v1_shell_086069,padded_support__medical_support_strap,Medical Support Strap,shell,padded_support,textile,textile,60000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:shell
stage3_100k_qwen2_v1_shell_052121,padded_support__neoprene_pad,Neoprene Pad,shell,padded_support,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_022052,padded_support__posture_support_cushion,Posture Support Cushion,shell,padded_support,unknown,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_058914,padded_support__seat_cushion_cover,Seat Cushion Cover,shell,padded_support,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:shell; predeformed_state
stage3_100k_qwen2_v1_shell_020115,padded_support__steam_mop_pad,Steam Mop Pad,shell,padded_support,textile,textile,60000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:shell
stage3_100k_qwen2_v1_garment_014228,hand_foot_garment__medical_glove,Medical Glove,garment,hand_foot_garment,unknown,rubber,120000.0,0.46,950.0,0.006,160.0,0.0008,24,0.36,0.025,0.006,base:rubber; geometry:garment; thin_latex_glove
stage3_100k_qwen2_v1_garment_067586,head_neck_garment__beanie,Beanie,garment,head_neck_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
stage3_100k_qwen2_v1_garment_048187,head_neck_garment__bucket_hat,Bucket Hat,garment,head_neck_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_089415,head_neck_garment__headscarf,Headscarf,garment,head_neck_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_011817,head_neck_garment__scarf,Scarf,garment,head_neck_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_071484,lower_garment__a_line_skirt,A-line Skirt,garment,lower_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_017165,lower_garment__athletic_shorts,Athletic Shorts,garment,lower_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_010865,lower_garment__midi_skirt,Midi Skirt,garment,lower_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
stage3_100k_qwen2_v1_garment_092348,lower_garment__shorts,Shorts,garment,lower_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_067133,one_piece_garment__dress_shirt,Dress Shirt,garment,one_piece_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
stage3_100k_qwen2_v1_garment_027366,one_piece_garment__slip_dress,Slip Dress,garment,one_piece_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_013030,upper_garment__apron,Apron,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_078506,upper_garment__bathrobe,Bathrobe,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_053291,upper_garment__camisole,Camisole,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_091123,upper_garment__chef_coat,Chef Coat,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_033894,upper_garment__chiffon_blouse,Chiffon Blouse,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_008677,upper_garment__down_jacket,Down Jacket,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_053784,upper_garment__flannel_shirt,Flannel Shirt,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_014020,upper_garment__knitted_gloves,Knitted Gloves,garment,upper_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
stage3_100k_qwen2_v1_garment_054764,upper_garment__leather_jacket,Leather Jacket,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_048946,upper_garment__life_jacket_foam_insert,Life Jacket Foam Insert,garment,upper_garment,foam,foam,45000.0,0.28,180.0,0.009,128.0,0.0008,24,0.48,0.02,0.003,base:foam; geometry:garment
stage3_100k_qwen2_v1_garment_033914,upper_garment__nurse_uniform,Nurse Uniform,garment,upper_garment,textile,textile,54000.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment
stage3_100k_qwen2_v1_garment_017914,upper_garment__polo_shirt,Polo Shirt,garment,upper_garment,textile,textile,48600.0,0.34,460.0,0.006,160.0,0.0008,24,0.4,0.025,0.006,base:textile; geometry:garment; predeformed_state
